base_index,variant,source,mirrored,rival_side,winner,outcome,elapsed_ticks,elapsed_seconds,rival_inherited_original_physical_car,rival_closest_to_ball,ball_field_third,ball_height_band,rival_boost_advantage,touch_rival,touch_nexto,demo_rival,demo_nexto,possession_total_rival,possession_same_rival,possession_opponent_rival,goal_entry_valid,goal_entry_x,goal_entry_z
294,2,rival_stochastic,True,0,1,nexto,1056,8.8,Orange,True,orange,ground,0.0,0,30,0,0,0,0,0,False,-50.81655502319336,94.44160461425781
294,3,rival_stochastic,True,1,0,nexto,788,6.566666666666666,Blue,False,orange,ground,0.0,6,6,0,0,6,5,1,False,55.87528991699219,108.72258758544922
295,0,rival_stochastic,False,0,1,nexto,3758,31.316666666666666,Blue,True,blue,ground,20.444435119628906,43,24,0,0,43,39,4,False,-217.8236541748047,476.94830322265625
295,1,rival_stochastic,False,1,0,nexto,2300,19.166666666666668,Orange,False,blue,ground,-20.444435119628906,2,52,0,0,2,1,1,False,328.340087890625,185.80262756347656
295,2,rival_stochastic,True,0,1,nexto,1580,13.166666666666666,Orange,False,orange,ground,-20.444435119628906,0,19,0,0,0,0,0,False,-150.47874450683594,406.32861328125
295,3,rival_stochastic,True,1,0,nexto,2554,21.283333333333335,Blue,True,orange,ground,20.444435119628906,54,4,0,0,54,53,1,False,723.5770874023438,409.8902893066406
296,0,rival_stochastic,False,0,1,nexto,637,5.308333333333334,Blue,False,orange,ground,-66.88882446289062,0,68,0,0,0,0,0,False,2.6872124671936035,93.14920043945312
296,1,rival_stochastic,False,1,0,nexto,2149,17.908333333333335,Orange,True,orange,ground,66.88882446289062,20,8,0,1,20,16,4,False,814.7398681640625,133.71702575683594
296,2,rival_stochastic,True,0,1,nexto,4811,40.09166666666667,Orange,True,blue,ground,66.88882446289062,47,16,0,0,47,42,5,False,-646.3629760742188,125.32987976074219
296,3,rival_stochastic,True,1,0,nexto,632,5.266666666666667,Blue,False,blue,ground,-66.88882446289062,0,70,0,0,0,0,0,False,-146.71946716308594,93.12674713134766
297,0,rival_stochastic,False,0,1,nexto,1192,9.933333333333334,Blue,False,orange,mid,-100.0,4,19,0,0,4,2,2,False,-226.0819091796875,93.09209442138672
297,1,rival_stochastic,False,1,-1,draw,7200,60.0,Orange,True,orange,mid,100.0,176,24,0,0,176,164,12,False,0.0,0.0
297,2,rival_stochastic,True,0,1,nexto,2359,19.658333333333335,Orange,True,blue,mid,100.0,67,6,0,0,67,66,1,False,-625.6290283203125,218.5494384765625
297,3,rival_stochastic,True,1,0,nexto,1192,9.933333333333334,Blue,False,blue,mid,-100.0,2,16,0,0,2,1,1,False,224.48043823242188,93.1191177368164
298,0,rival_stochastic,False,0,1,nexto,657,5.475,Blue,False,orange,mid,65.55545043945312,0,4,0,0,0,0,0,False,-531.6528930664062,270.68133544921875
298,1,rival_stochastic,False,1,1,rival,549,4.575,Orange,True,orange,mid,-65.55545043945312,9,0,0,0,8,8,0,False,-62.47328567504883,94.0062255859375
298,2,rival_stochastic,True,0,0,rival,548,4.566666666666666,Orange,True,blue,mid,-65.55545043945312,9,0,0,0,8,8,0,False,-59.612220764160156,93.58767700195312
298,3,rival_stochastic,True,1,0,nexto,2243,18.691666666666666,Blue,False,blue,mid,65.55545043945312,0,13,0,0,0,0,0,False,-355.1323547363281,170.41819763183594
299,0,rival_stochastic,False,0,1,nexto,1144,9.533333333333333,Blue,True,middle,ground,-6.666664123535156,9,25,0,0,9,8,1,False,-440.02099609375,181.0089874267578
299,1,rival_stochastic,False,1,0,nexto,316,2.6333333333333333,Orange,False,middle,ground,6.666664123535156,0,6,0,0,0,0,0,False,35.05657958984375,94.42499542236328
299,2,rival_stochastic,True,0,1,nexto,316,2.6333333333333333,Orange,False,middle,ground,6.666664123535156,0,6,0,0,0,0,0,False,35.06134796142578,94.42476654052734
299,3,rival_stochastic,True,1,0,nexto,1246,10.383333333333333,Blue,True,middle,ground,-6.666664123535156,9,26,0,0,9,8,1,False,-257.1521911621094,290.72540283203125
300,0,rival_stochastic,False,0,1,nexto,737,6.141666666666667,Blue,False,orange,ground,27.222000122070312,2,8,0,0,2,1,1,False,-493.22174072265625,93.1075210571289
300,1,rival_stochastic,False,1,0,nexto,1985,16.541666666666668,Orange,True,orange,ground,-27.222000122070312,2,43,0,0,2,1,1,False,409.6952819824219,406.503173828125
300,2,rival_stochastic,True,0,1,nexto,1891,15.758333333333333,Orange,True,blue,ground,-27.222000122070312,0,22,0,0,0,0,0,False,-115.39777374267578,93.72595977783203
300,3,rival_stochastic,True,1,0,nexto,737,6.141666666666667,Blue,False,blue,ground,27.222000122070312,2,8,0,0,2,1,1,False,-493.39959716796875,93.10645294189453
301,0,rival_stochastic,False,0,1,nexto,819,6.825,Blue,False,orange,mid,12.0,0,6,0,0,0,0,0,False,241.35305786132812,127.36962890625
