checkpoint,world,pair_key,starting_layout,rival_side,termination,winner,duration_ticks,duration_seconds,rival_touches,nexto_touches,first_toucher,rival_saves,nexto_saves,rival_flips,nexto_flips,rival_wavedash_candidates,nexto_wavedash_candidates,rival_speed_increasing_wavedash_candidates,nexto_speed_increasing_wavedash_candidates,rival_zapdash_candidates,nexto_zapdash_candidates,rival_double_dash_candidate_events,nexto_double_dash_candidate_events
plus_239,389,side0-layout4-slot389,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,390,side0-layout0-slot390,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,391,side0-layout1-slot391,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,392,side0-layout2-slot392,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,393,side0-layout3-slot393,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,394,side0-layout4-slot394,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,395,side0-layout0-slot395,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,396,side0-layout1-slot396,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,397,side0-layout2-slot397,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,398,side0-layout3-slot398,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,399,side0-layout4-slot399,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,400,side0-layout0-slot400,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,401,side0-layout1-slot401,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,402,side0-layout2-slot402,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,403,side0-layout3-slot403,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,404,side0-layout4-slot404,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,405,side0-layout0-slot405,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,406,side0-layout1-slot406,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,407,side0-layout2-slot407,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,408,side0-layout3-slot408,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,409,side0-layout4-slot409,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,410,side0-layout0-slot410,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,411,side0-layout1-slot411,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,412,side0-layout2-slot412,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,413,side0-layout3-slot413,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,414,side0-layout4-slot414,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,415,side0-layout0-slot415,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,416,side0-layout1-slot416,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,417,side0-layout2-slot417,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,418,side0-layout3-slot418,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,419,side0-layout4-slot419,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,420,side0-layout0-slot420,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,421,side0-layout1-slot421,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,422,side0-layout2-slot422,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,423,side0-layout3-slot423,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
plus_239,424,side0-layout4-slot424,4,Blue,goal,Nexto,1740,14.5,2,3,Rival,0,0,4,4,1,0,1,0,0,0,0,0
plus_239,425,side0-layout0-slot425,0,Blue,goal,Nexto,1264,10.533333333333333,2,4,Rival,0,0,5,3,0,0,0,0,0,0,0,0
plus_239,426,side0-layout1-slot426,1,Blue,goal,Nexto,1252,10.433333333333334,1,8,Rival,0,0,4,2,0,0,0,0,0,0,0,0
plus_239,427,side0-layout2-slot427,2,Blue,goal,Nexto,1724,14.366666666666667,3,15,Rival,0,0,6,3,0,1,0,1,0,0,0,0
plus_239,428,side0-layout3-slot428,3,Blue,goal,Nexto,2196,18.3,3,6,Rival,2,0,7,7,1,0,1,0,0,0,0,0
